Name,Luminosity,Distance,Mass
Sirius A,25.4,8.659,2.02
Procyon,6.93,11.402,1.49
Tau Ceti,0.52,11.905,0.783
Alpha Centauri,1.519,4.365,1.1
Vega,40.12,25.04,2.135
Aldebaran,439,65.3,1.16
Rigel,120000,860,21
Altair,10.6,16.73,1.79
Betelgeuse,126000,700,11.6
